Linux 4.15.0-74-generic (server_ubuntu18.04) 	01/18/2020 	_x86_64_	(2 CPU)

17:34:39     LINUX RESTART	(2 CPU)

05:35:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
08:55:01 PM       1      2.07      0.00      0.69      0.30      0.03      0.00      0.02      0.00      0.00     96.90
09:05:01 PM     all      0.73      0.00      0.54      0.10      0.03      0.00      0.03      0.00      0.00     98.58
09:05:01 PM       0      0.73      0.00      0.54      0.04      0.03      0.00      0.04      0.00      0.00     98.62
09:05:01 PM       1      0.73      0.00      0.53      0.15      0.03      0.00      0.02      0.00      0.00     98.53
09:15:01 PM     all      0.77      0.00      0.49      0.14      0.03      0.00      0.03      0.00      0.00     98.54
09:15:01 PM       0      0.76      0.00      0.47      0.14      0.03      0.00      0.04      0.00      0.00     98.56
09:15:01 PM       1      0.78      0.00      0.51      0.15      0.03      0.00      0.03      0.00      0.00     98.51

09:15:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:25:01 PM     all      0.54      0.00      0.43      0.22      0.03      0.00      0.02      0.00      0.00     98.76
09:25:01 PM       0      0.57      0.00      0.41      0.21      0.03      0.00      0.02      0.00      0.00     98.77
09:25:01 PM       1      0.52      0.00      0.45      0.24      0.02      0.00      0.01      0.00      0.00     98.76
09:35:01 PM     all      0.54      0.00      0.41      0.10      0.02      0.00      0.02      0.00      0.00     98.91
09:35:01 PM       0      0.53      0.00      0.40      0.02      0.03      0.00      0.02      0.00      0.00     98.99
09:35:01 PM       1      0.55      0.00      0.42      0.17      0.02      0.00      0.02      0.00      0.00     98.82
09:45:01 PM     all      0.67      0.00      0.51      0.11      0.03      0.00      0.04      0.00      0.00     98.65
09:45:01 PM       0      0.73      0.00      0.54      0.06      0.03      0.00      0.06      0.00      0.00     98.58
09:45:01 PM       1      0.60      0.00      0.48      0.16      0.02      0.00      0.01      0.00      0.00     98.71
09:55:01 PM     all      1.59      0.00      0.53      0.16      0.02      0.00      0.02      0.00      0.00     97.67
09:55:01 PM       0      1.05      0.00      0.50      0.09      0.03      0.00      0.02      0.00      0.00     98.31
09:55:01 PM       1      2.13      0.00      0.55      0.24      0.02      0.00      0.03      0.00      0.00     97.03
10:05:01 PM     all      0.55      0.00      0.43      0.25      0.03      0.00      0.02      0.00      0.00     98.72
10:05:01 PM       0      0.55      0.00      0.40      0.04      0.03      0.00      0.03      0.00      0.00     98.95
10:05:01 PM       1      0.55      0.00      0.47      0.45      0.02      0.00      0.02      0.00      0.00     98.49
10:15:01 PM     all      0.53      0.00      0.41      0.11      0.02      0.00      0.02      0.00      0.00     98.92
10:15:01 PM       0      0.54      0.00      0.41      0.04      0.03      0.00      0.02      0.00      0.00     98.96
10:15:01 PM       1      0.52      0.00      0.40      0.18      0.02      0.00      0.02      0.00      0.00     98.87
10:25:01 PM     all      0.51      0.00      0.38      0.40      0.02      0.00      0.02      0.00      0.00     98.67
10:25:01 PM       0      0.55      0.00      0.37      0.08      0.03      0.00      0.02      0.00      0.00     98.94
10:25:01 PM       1      0.46      0.00      0.39      0.73      0.02      0.00      0.01      0.00      0.00     98.39
10:35:01 PM     all      0.68      0.00      0.44      0.14      0.03      0.00      0.02      0.00      0.00     98.69
10:35:01 PM       0      0.66      0.00      0.44      0.02      0.03      0.00      0.03      0.00      0.00     98.83
10:35:01 PM       1      0.69      0.00      0.43      0.27      0.03      0.00      0.02      0.00      0.00     98.56
10:45:01 PM     all      0.57      0.00      0.45      0.40      0.03      0.00      0.04      0.00      0.00     98.52
10:45:01 PM       0      0.60      0.00      0.50      0.06      0.03      0.00      0.06      0.00      0.00     98.76
10:45:01 PM       1      0.54      0.00      0.40      0.74      0.02      0.00      0.02      0.00      0.00     98.28
10:55:01 PM     all      0.52      0.00      0.38      0.10      0.02      0.00      0.01      0.00      0.00     98.96
10:55:01 PM       0      0.53      0.00      0.37      0.02      0.03      0.00      0.01      0.00      0.00     99.03
10:55:01 PM       1      0.51      0.00      0.39      0.19      0.02      0.00      0.01      0.00      0.00     98.88
