Linux 2.6.18-398.el5 (server_rhel5) 	01/05/2020

12:00:01 AM    proc/s
12:10:01 AM     76.83
12:20:01 AM    107.17
12:30:01 AM    105.19
12:40:01 AM    110.02
12:50:01 AM     15.20
01:00:01 AM     89.41
01:10:01 AM     65.69
01:20:01 AM     41.29
01:30:01 AM     22.27
01:40:01 AM     20.21
01:50:01 AM     75.95
02:00:01 AM    175.05
Average:        75.36

12:00:01 AM   cswch/s
12:10:01 AM   5551.93
12:20:01 AM   5974.30
12:30:01 AM   6288.31
12:40:01 AM   5940.90
12:50:01 AM   4240.95
01:00:01 AM   4651.12
01:10:01 AM   5831.87
01:20:01 AM   6065.06
01:30:01 AM   4515.08
01:40:01 AM   4092.01
01:50:01 AM   8262.38
02:00:01 AM   9662.14
Average:      5922.82

12:00:01 AM       CPU     %user     %nice   %system   %iowait    %steal     %idle
01:30:01 AM         5      6.70      0.00      7.47      7.77      0.00     78.06
01:30:01 AM         6     34.18      0.00     32.29     21.46      0.00     12.07
01:30:01 AM         7     22.87      0.00     30.32     41.10      0.00      5.71
01:40:01 AM       all     15.40      0.00      9.55     12.00      0.00     63.05
01:40:01 AM         0     11.34      0.00      5.14      4.52      0.00     79.00
01:40:01 AM         1      9.91      0.00      4.64      4.20      0.00     81.25
01:40:01 AM         2     16.61      0.00      4.36      3.62      0.00     75.41
01:40:01 AM         3     12.90      0.00      4.50      4.42      0.00     78.18
01:40:01 AM         4     10.10      0.00      4.26      4.09      0.00     81.55
01:40:01 AM         5      7.99      0.00      4.49      4.36      0.00     83.16
01:40:01 AM         6     34.64      0.00     23.07     22.45      0.00     19.84
01:40:01 AM         7     19.71      0.00     25.94     48.37      0.00      5.98
01:50:01 AM       all     17.98      0.00     24.87     10.37      0.00     46.77
01:50:01 AM         0     16.65      0.00     18.66      5.24      0.00     59.45
01:50:01 AM         1     17.30      0.00     19.31      5.61      0.00     57.78
01:50:01 AM         2     17.00      0.00     18.50      5.54      0.00     58.96
01:50:01 AM         3     16.28      0.00     18.70      5.86      0.00     59.15
01:50:01 AM         4     17.10      0.00     18.59      5.46      0.00     58.86
01:50:01 AM         5     12.51      0.00     19.13      5.83      0.00     62.53
01:50:01 AM         6     29.92      0.00     36.48     21.03      0.00     12.57
01:50:01 AM         7     17.10      0.00     49.60     28.41      0.00      4.89
02:00:01 AM       all     15.61      0.00     31.07      9.11      0.00     44.21
02:00:01 AM         0     13.27      0.00     26.14      5.19      0.00     55.40
02:00:01 AM         1     14.18      0.00     25.31      5.06      0.00     55.45
02:00:01 AM         2     12.96      0.00     25.36      5.25      0.00     56.44
02:00:01 AM         3     13.62      0.00     24.68      5.53      0.00     56.18
02:00:01 AM         4     12.74      0.00     24.91      5.28      0.00     57.07
02:00:01 AM         5     14.04      0.00     23.90      5.60      0.00     56.46
02:00:01 AM         6     25.71      0.00     43.42     18.37      0.00     12.50
02:00:01 AM         7     18.40      0.00     54.83     22.57      0.00      4.20
Average:          all     15.06      0.00     19.40      9.06      0.00     56.48
Average:            0     12.44      0.00     15.39      3.66      0.00     68.50
Average:            1     11.42      0.00     14.93      3.61      0.00     70.04
Average:            2     11.97      0.00     14.90      3.55      0.00     69.58
Average:            3     12.08      0.00     14.52      3.83      0.00     69.56
Average:            4     11.22      0.00     14.30      3.71      0.00     70.77
Average:            5      9.50      0.00     14.62      3.79      0.00     72.10
Average:            6     32.48      0.00     30.08     16.02      0.00     21.43
Average:            7     19.35      0.00     36.48     34.29      0.00      9.88

12:00:01 AM      INTR    intr/s
12:10:01 AM       sum   4466.42
12:20:01 AM       sum   4590.92
12:30:01 AM       sum   4576.72
12:40:01 AM       sum   4502.08
12:50:01 AM       sum   4398.69
01:00:01 AM       sum   4381.61
01:10:01 AM       sum   4958.68
01:20:01 AM       sum   5259.00
01:30:01 AM       sum   5020.72
01:40:01 AM       sum   4372.42
01:50:01 AM       sum   6356.71
02:00:01 AM       sum   6793.16
Average:          sum   4972.98

12:00:01 AM  CPU  i000/s  i001/s  i004/s  i006/s  i008/s  i009/s  i010/s  i011/s  i012/s  i015/s
12:10:01 AM    0  997.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:10:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:10:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:10:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:10:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:10:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.02
12:10:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 1800.03    0.00    0.00    0.00
12:10:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 1659.20    0.00    0.00
12:20:01 AM    0  997.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:20:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:20:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:20:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:20:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:20:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.97
