Linux 6.8.0-106-generic (server_ubuntu24.04) 	03/27/26 	_x86_64_	(4 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:10:01          2      2.29      0.00      0.47      0.01      0.01      0.00      0.04      0.00      0.00     97.18
02:10:01          3      1.72      0.00      0.46      0.02      0.01      0.00      0.00      0.00      0.00     97.78
02:20:01        all      1.53      0.00      0.39      0.01      0.01      0.00      0.02      0.00      0.00     98.04
02:20:01          0      1.59      0.00      0.39      0.01      0.01      0.00      0.04      0.00      0.00     97.96
02:20:01          1      1.72      0.00      0.45      0.01      0.01      0.00      0.01      0.00      0.00     97.80
02:20:01          2      1.40      0.00      0.36      0.02      0.01      0.00      0.03      0.00      0.00     98.18
02:20:01          3      1.41      0.00      0.35      0.01      0.01      0.00      0.00      0.00      0.00     98.22
02:30:01        all      1.47      0.00      0.37      0.01      0.01      0.00      0.02      0.00      0.00     98.12
02:30:01          0      1.19      0.00      0.31      0.02      0.01      0.00      0.05      0.00      0.00     98.43
02:30:01          1      1.55      0.00      0.37      0.01      0.01      0.00      0.02      0.00      0.00     98.05
02:30:01          2      1.35      0.00      0.36      0.01      0.01      0.00      0.03      0.00      0.00     98.24
02:30:01          3      1.78      0.00      0.43      0.02      0.01      0.00      0.00      0.00      0.00     97.76
02:40:01        all      3.81      0.00      0.60      0.01      0.01      0.00      0.05      0.00      0.00     95.51
02:40:01          0      2.84      0.00      0.49      0.01      0.01      0.00      0.07      0.00      0.00     96.58
02:40:01          1      3.89      0.00      0.69      0.01      0.01      0.00      0.02      0.00      0.00     95.37
02:40:01          2      4.68      0.00      0.67      0.02      0.02      0.00      0.11      0.00      0.00     94.52
02:40:01          3      3.86      0.00      0.55      0.01      0.02      0.00      0.02      0.00      0.00     95.55
02:50:01        all      1.58      0.00      0.41      0.01      0.01      0.00      0.03      0.00      0.00     97.97
02:50:01          0      1.21      0.00      0.31      0.01      0.01      0.00      0.06      0.00      0.00     98.41
02:50:01          1      1.69      0.00      0.46      0.01      0.01      0.00      0.02      0.00      0.00     97.81
02:50:01          2      1.57      0.00      0.43      0.01      0.01      0.00      0.03      0.00      0.00     97.96
02:50:01          3      1.85      0.00      0.45      0.01      0.01      0.00      0.00      0.00      0.00     97.68
03:00:00        all      1.46      0.00      0.41      0.01      0.01      0.00      0.02      0.00      0.00     98.09
03:00:00          0      0.92      0.00      0.29      0.01      0.01      0.00      0.05      0.00      0.00     98.72
03:00:00          1      1.66      0.00      0.47      0.02      0.01      0.00      0.02      0.00      0.00     97.83
03:00:00          2      1.54      0.00      0.43      0.01      0.01      0.00      0.01      0.00      0.00     98.00
03:00:00          3      1.72      0.00      0.46      0.01      0.01      0.00      0.00      0.00      0.00     97.79
03:10:01        all      1.84      0.00      0.43      0.01      0.01      0.00      0.02      0.00      0.00     97.69
03:10:01          0      1.34      0.00      0.40      0.00      0.01      0.00      0.05      0.00      0.00     98.20
03:10:01          1      1.95      0.00      0.47      0.01      0.01      0.00      0.02      0.00      0.00     97.54
03:10:01          2      2.14      0.00      0.44      0.01      0.01      0.00      0.01      0.00      0.00     97.40
